id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4814272,AP2-1 / Apartment next to the center,8908066,Peter,,Brigittenau,48.23537,16.38289,Entire home/apt,80,3,8,2022-08-15,0.10,2,224,1,
4254904,Great Bright Room: Heart of Vienna,22079608,Monir,,Mariahilf,48.19209,16.34098,Private room,80,2,12,2022-05-29,0.17,1,364,1,
4816291,Modern Industrial near to Schönbrunn Palace,14952347,Kemal,,Rudolfsheim-Fnfhaus,48.18411,16.32738,Entire home/apt,127,2,161,2022-08-21,1.72,4,316,5,
4266592,Vienna's most popular Area,5999129,Marina,,Neubau,48.20366,16.35116,Entire home/apt,99,2,240,2022-08-28,2.50,2,313,16,
4878316,Nice Top floor appartment in Vienna,25080746,Lukas,,Alsergrund,48.21815,16.34534,Entire home/apt,25,1,0,,,1,0,0,
4818599,"nice apartment, Vienna",15667021,Arnold,,Rudolfsheim-Fnfhaus,48.19676,16.31978,Entire home/apt,45,5,2,2019-08-18,0.02,1,0,0,
4879041,Gemütliches Zimmer mit Garten nähe Donaukanal,7014211,Sabine,,Brigittenau,48.2371,16.36905,Private room,45,1,6,2021-10-23,0.18,2,359,3,
4826756,Schönes Zimmer in zentraler Lage,24852288,Ilter,,Hernals,48.21848,16.33742,Private room,20,1,1,2016-02-29,0.01,1,0,0,
4828010,City Apartment in historic center,7147147,Emmanuel,,Innere Stadt,48.21475,16.36983,Entire home/apt,134,1,10,2022-07-23,0.12,22,177,6,
4882995,"Garden-Apartment/Flat-1, 10 Mins to Centre!",25121553,Judith,,Donaustadt,48.24136,16.43505,Entire home/apt,89,2,48,2022-08-31,0.53,3,358,10,
4883356,Stylish apartment in the centre,8887050,Max,,Margareten,48.19521,16.35849,Entire home/apt,95,1,2,2016-06-20,0.02,1,0,0,
4836452,20qm Private Room + Roof Terrace,24892879,Joe,,Hietzing,48.1732,16.29827,Private room,9270,3,4,2015-08-27,0.04,1,0,0,
4883788,Studio Type Apartment,819001,Anthony,,Favoriten,48.17062,16.37414,Entire home/apt,40,1,1,2015-01-02,0.01,1,0,0,
4892153,"Calm and cozy room,10 min to Center",25171970,Tunç,,Josefstadt,48.21112,16.33939,Private room,29,2,23,2017-06-17,0.27,2,0,0,
4847275,Updated Historic Architectural Apartment,18982651,Veronika & Johannes,,Innere Stadt,48.20929,16.35633,Entire home/apt,430,1,197,2022-09-04,2.18,3,285,43,
4866180,Gemütliche Wohnung 50m2,25030684,Christine,,Rudolfsheim-Fnfhaus,48.18909,16.33706,Entire home/apt,40,2,7,2016-01-10,0.08,1,0,0,
4893888,Beautiful room in residential area,25182887,Konstantin,,Hietzing,48.17645,16.27195,Private room,33,2,189,2022-09-08,2.08,2,348,3,
4868308,Perfect location in CENTRAL Vienna!,16080341,Alexia,,Neubau,48.20569,16.34861,Entire home/apt,51,3,49,2020-03-06,0.52,1,0,0,
4895018,City apartment with private garden,18187202,Katharina,,Landstra§e,48.21193,16.388,Entire home/apt,65,1,41,2022-08-31,0.46,4,195,17,
4895533,Apartment SCHÖNBRUNN,5922712,Walter,,Hietzing,48.1837,16.28996,Entire home/apt,70,28,7,2021-08-21,0.12,4,326,0,
4869234,City Appartment with balcony very quiet,25047381,Monika,,Rudolfsheim-Fnfhaus,48.19436,16.33297,Entire home/apt,60,1,0,,,1,0,0,
4897350,Apartment - fabulous Vienna views,25205867,Christoph,,Dbling,48.26083,16.36457,Entire home/apt,213,3,7,2021-08-05,0.09,1,0,0,
